Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
09/03/2024,M'gladbach,FC Koln,3,3,D,16,12,5,5,1.83,4.0,4.0,2023-24,Bundesliga,D1
09/03/2024,RB Leipzig,Darmstadt,2,0,H,28,9,8,4,1.14,8.5,15.0,2023-24,Bundesliga,D1
09/03/2024,Werder Bremen,Dortmund,1,2,A,15,13,5,6,3.5,4.33,1.85,2023-24,Bundesliga,D1
10/03/2024,Bochum,Freiburg,1,2,A,18,9,6,5,2.2,3.75,3.0,2023-24,Bundesliga,D1
10/03/2024,Ein Frankfurt,Hoffenheim,3,1,H,17,6,7,2,2.0,4.0,3.3,2023-24,Bundesliga,D1
10/03/2024,Leverkusen,Wolfsburg,2,0,H,19,2,7,1,1.33,5.75,8.5,2023-24,Bundesliga,D1
15/03/2024,FC Koln,RB Leipzig,1,5,A,9,23,2,7,6.5,4.75,1.45,2023-24,Bundesliga,D1
16/03/2024,Darmstadt,Bayern Munich,2,5,A,7,26,3,6,17.0,8.0,1.14,2023-24,Bundesliga,D1
16/03/2024,Heidenheim,M'gladbach,1,1,D,16,6,5,2,2.45,3.6,2.7,2023-24,Bundesliga,D1
16/03/2024,Mainz,Bochum,2,0,H,13,11,4,4,1.8,3.8,4.33,2023-24,Bundesliga,D1
16/03/2024,Union Berlin,Werder Bremen,2,1,H,11,10,5,2,2.05,3.4,3.8,2023-24,Bundesliga,D1
16/03/2024,Wolfsburg,Augsburg,1,3,A,15,14,4,5,2.05,3.5,3.5,2023-24,Bundesliga,D1
16/03/2024,Hoffenheim,Stuttgart,0,3,A,8,25,1,12,3.8,4.0,1.83,2023-24,Bundesliga,D1
17/03/2024,Freiburg,Leverkusen,2,3,A,9,18,3,7,6.0,4.33,1.53,2023-24,Bundesliga,D1
17/03/2024,Dortmund,Ein Frankfurt,3,1,H,16,8,6,6,1.62,4.2,5.0,2023-24,Bundesliga,D1
30/03/2024,Ein Frankfurt,Union Berlin,0,0,D,18,10,4,2,2.0,3.5,3.8,2023-24,Bundesliga,D1
30/03/2024,Leverkusen,Hoffenheim,2,1,H,36,6,12,2,1.2,7.5,12.0,2023-24,Bundesliga,D1
30/03/2024,M'gladbach,Freiburg,0,3,A,18,13,4,8,2.2,3.6,3.2,2023-24,Bundesliga,D1
30/03/2024,RB Leipzig,Mainz,0,0,D,23,8,10,2,1.4,5.25,7.5,2023-24,Bundesliga,D1
30/03/2024,Werder Bremen,Wolfsburg,0,2,A,6,15,1,5,2.88,3.5,2.4,2023-24,Bundesliga,D1
30/03/2024,Bayern Munich,Dortmund,0,2,A,16,11,3,5,1.4,5.75,6.0,2023-24,Bundesliga,D1
31/03/2024,Augsburg,FC Koln,1,1,D,24,12,6,2,1.75,4.0,4.5,2023-24,Bundesliga,D1
31/03/2024,Stuttgart,Heidenheim,3,3,D,20,6,6,3,1.25,6.0,10.0,2023-24,Bundesliga,D1
31/03/2024,Bochum,Darmstadt,2,2,D,20,13,7,3,1.62,4.0,5.25,2023-24,Bundesliga,D1
05/04/2024,Ein Frankfurt,Werder Bremen,1,1,D,19,10,5,7,1.75,3.8,4.5,2023-24,Bundesliga,D1
06/04/2024,FC Koln,Bochum,2,1,H,17,8,6,2,2.25,3.5,3.1,2023-24,Bundesliga,D1
06/04/2024,Freiburg,RB Leipzig,1,4,A,15,15,4,6,4.75,4.33,1.65,2023-24,Bundesliga,D1
06/04/2024,Heidenheim,Bayern Munich,3,2,H,9,15,4,8,6.5,6.0,1.36,2023-24,Bundesliga,D1
06/04/2024,Mainz,Darmstadt,4,0,H,18,14,9,2,1.4,5.0,7.5,2023-24,Bundesliga,D1
06/04/2024,Union Berlin,Leverkusen,0,1,A,8,19,1,8,5.75,4.33,1.55,2023-24,Bundesliga,D1
06/04/2024,Dortmund,Stuttgart,0,1,A,14,10,7,2,2.25,4.0,2.8,2023-24,Bundesliga,D1
07/04/2024,Hoffenheim,Augsburg,3,1,H,17,14,6,7,2.2,4.0,2.9,2023-24,Bundesliga,D1
07/04/2024,Wolfsburg,M'gladbach,1,3,A,13,10,4,6,1.85,4.0,3.8,2023-24,Bundesliga,D1
12/04/2024,Augsburg,Union Berlin,2,0,H,12,17,4,4,2.1,3.4,3.4,2023-24,Bundesliga,D1
13/04/2024,Bayern Munich,FC Koln,2,0,H,17,11,7,5,1.22,7.5,11.0,2023-24,Bundesliga,D1
13/04/2024,Bochum,Heidenheim,1,1,D,24,10,5,3,2.05,3.75,3.3,2023-24,Bundesliga,D1
13/04/2024,Mainz,Hoffenheim,4,1,H,23,5,8,1,1.95,4.0,3.4,2023-24,Bundesliga,D1
13/04/2024,M'gladbach,Dortmund,1,2,A,16,12,5,4,3.25,4.0,2.0,2023-24,Bundesliga,D1
13/04/2024,RB Leipzig,Wolfsburg,3,0,H,15,10,6,3,1.36,5.0,8.0,2023-24,Bundesliga,D1
13/04/2024,Stuttgart,Ein Frankfurt,3,0,H,9,10,6,3,1.53,4.5,5.5,2023-24,Bundesliga,D1
14/04/2024,Darmstadt,Freiburg,0,1,A,16,9,4,3,4.0,3.8,1.83,2023-24,Bundesliga,D1
14/04/2024,Leverkusen,Werder Bremen,5,0,H,19,7,10,3,1.2,7.0,13.0,2023-24,Bundesliga,D1
19/04/2024,Ein Frankfurt,Augsburg,3,1,H,12,6,7,1,2.0,3.75,3.5,2023-24,Bundesliga,D1
20/04/2024,FC Koln,Darmstadt,0,2,A,18,12,4,6,1.5,4.75,5.75,2023-24,Bundesliga,D1
20/04/2024,Heidenheim,RB Leipzig,1,2,A,9,11,5,4,5.75,5.25,1.45,2023-24,Bundesliga,D1
20/04/2024,Hoffenheim,M'gladbach,4,3,H,27,13,9,7,2.1,4.0,3.1,2023-24,Bundesliga,D1
20/04/2024,Wolfsburg,Bochum,1,0,H,10,9,5,1,1.75,4.0,4.33,2023-24,Bundesliga,D1
20/04/2024,Union Berlin,Bayern Munich,1,5,A,15,18,4,9,4.75,4.5,1.62,2023-24,Bundesliga,D1
21/04/2024,Werder Bremen,Stuttgart,2,1,H,9,14,2,5,4.75,4.75,1.57,2023-24,Bundesliga,D1
21/04/2024,Dortmund,Leverkusen,1,1,D,9,13,2,5,2.55,3.8,2.55,2023-24,Bundesliga,D1
21/04/2024,Freiburg,Mainz,1,1,D,7,17,3,4,2.6,3.5,2.6,2023-24,Bundesliga,D1
26/04/2024,Bochum,Hoffenheim,3,2,H,35,12,13,4,2.15,4.0,2.9,2023-24,Bundesliga,D1
27/04/2024,Augsburg,Werder Bremen,0,3,A,14,16,1,8,1.8,4.0,4.0,2023-24,Bundesliga,D1
27/04/2024,Bayern Munich,Ein Frankfurt,2,1,H,19,10,9,3,1.4,5.25,7.0,2023-24,Bundesliga,D1
27/04/2024,Freiburg,Wolfsburg,1,2,A,16,13,3,5,2.3,3.6,2.88,2023-24,Bundesliga,D1
27/04/2024,RB Leipzig,Dortmund,4,1,H,21,12,7,5,1.67,4.33,4.5,2023-24,Bundesliga,D1
27/04/2024,Leverkusen,Stuttgart,2,2,D,14,11,6,4,1.75,4.2,4.33,2023-24,Bundesliga,D1
28/04/2024,M'gladbach,Union Berlin,0,0,D,13,14,4,7,2.3,3.5,3.0,2023-24,Bundesliga,D1
28/04/2024,Mainz,FC Koln,1,1,D,16,16,4,6,1.55,4.33,6.0,2023-24,Bundesliga,D1
28/04/2024,Darmstadt,Heidenheim,0,1,A,12,19,4,6,3.3,3.75,2.1,2023-24,Bundesliga,D1
03/05/2024,Hoffenheim,RB Leipzig,1,1,D,18,8,8,5,5.25,5.0,1.5,2023-24,Bundesliga,D1
04/05/2024,Dortmund,Augsburg,5,1,H,21,20,10,4,1.85,4.33,3.6,2023-24,Bundesliga,D1
04/05/2024,Stuttgart,Bayern Munich,3,1,H,24,10,11,3,2.1,4.0,3.1,2023-24,Bundesliga,D1
04/05/2024,Werder Bremen,M'gladbach,2,2,D,17,17,6,7,2.25,3.75,3.0,2023-24,Bundesliga,D1
04/05/2024,Wolfsburg,Darmstadt,3,0,H,18,6,6,1,1.4,5.0,8.0,2023-24,Bundesliga,D1
04/05/2024,FC Koln,Freiburg,0,0,D,20,4,7,0,2.3,3.75,2.88,2023-24,Bundesliga,D1
05/05/2024,Union Berlin,Bochum,3,4,A,12,17,6,5,1.95,3.5,4.0,2023-24,Bundesliga,D1
05/05/2024,Ein Frankfurt,Leverkusen,1,5,A,16,10,5,6,3.2,3.5,2.2,2023-24,Bundesliga,D1
05/05/2024,Heidenheim,Mainz,1,1,D,16,10,6,4,3.0,3.5,2.3,2023-24,Bundesliga,D1
10/05/2024,Augsburg,Stuttgart,0,1,A,9,19,1,7,4.0,4.2,1.75,2023-24,Bundesliga,D1
11/05/2024,FC Koln,Union Berlin,3,2,H,18,14,5,6,2.8,3.3,2.55,2023-24,Bundesliga,D1
11/05/2024,Freiburg,Heidenheim,1,1,D,19,9,3,3,1.7,4.0,4.5,2023-24,Bundesliga,D1
11/05/2024,M'gladbach,Ein Frankfurt,1,1,D,6,16,3,1,2.45,3.75,2.63,2023-24,Bundesliga,D1
11/05/2024,RB Leipzig,Werder Bremen,1,1,D,13,10,5,1,1.29,6.5,8.0,2023-24,Bundesliga,D1
11/05/2024,Mainz,Dortmund,3,0,H,14,10,6,2,2.2,3.6,3.1,2023-24,Bundesliga,D1
12/05/2024,Darmstadt,Hoffenheim,0,6,A,9,12,1,7,4.75,4.5,1.62,2023-24,Bundesliga,D1
12/05/2024,Bayern Munich,Wolfsburg,2,0,H,5,5,3,2,1.33,6.0,7.5,2023-24,Bundesliga,D1
12/05/2024,Bochum,Leverkusen,0,5,A,2,28,0,10,4.2,4.33,1.7,2023-24,Bundesliga,D1
18/05/2024,Dortmund,Darmstadt,4,0,H,21,7,10,1,1.17,8.5,13.0,2023-24,Bundesliga,D1
18/05/2024,Ein Frankfurt,RB Leipzig,2,2,D,19,9,6,5,2.8,3.8,2.3,2023-24,Bundesliga,D1
18/05/2024,Heidenheim,FC Koln,4,1,H,13,19,7,9,2.3,4.0,2.7,2023-24,Bundesliga,D1
18/05/2024,Hoffenheim,Bayern Munich,4,2,H,17,12,9,4,2.88,4.5,2.0,2023-24,Bundesliga,D1
18/05/2024,Leverkusen,Augsburg,2,1,H,19,8,8,2,1.3,6.0,9.0,2023-24,Bundesliga,D1
18/05/2024,Stuttgart,M'gladbach,4,0,H,21,13,11,5,1.29,6.25,8.5,2023-24,Bundesliga,D1
18/05/2024,Union Berlin,Freiburg,2,1,H,14,11,5,5,2.1,3.4,3.5,2023-24,Bundesliga,D1
18/05/2024,Werder Bremen,Bochum,4,1,H,25,26,12,8,2.38,3.6,2.8,2023-24,Bundesliga,D1
18/05/2024,Wolfsburg,Mainz,1,3,A,12,12,4,6,3.2,3.5,2.2,2023-24,Bundesliga,D1
05/08/2022,Ein Frankfurt,Bayern Munich,1,6,A,8,23,2,10,6.0,5.0,1.5,2022-23,Bundesliga,D1
06/08/2022,Augsburg,Freiburg,0,4,A,10,19,2,7,3.3,3.5,2.15,2022-23,Bundesliga,D1
06/08/2022,Bochum,Mainz,1,2,A,16,13,3,6,3.2,3.4,2.2,2022-23,Bundesliga,D1
06/08/2022,M'gladbach,Hoffenheim,3,1,H,18,2,8,1,2.05,4.2,3.0,2022-23,Bundesliga,D1
06/08/2022,Union Berlin,Hertha,3,1,H,18,9,8,3,1.72,3.75,4.5,2022-23,Bundesliga,D1
06/08/2022,Wolfsburg,Werder Bremen,2,2,D,13,10,3,5,1.85,3.8,3.8,2022-23,Bundesliga,D1
06/08/2022,Dortmund,Leverkusen,1,0,H,13,8,4,3,2.0,4.2,3.2,2022-23,Bundesliga,D1
07/08/2022,Stuttgart,RB Leipzig,1,1,D,11,27,2,9,4.5,3.8,1.75,2022-23,Bundesliga,D1
07/08/2022,FC Koln,Schalke 04,3,1,H,30,6,10,2,1.7,4.0,4.5,2022-23,Bundesliga,D1
12/08/2022,Freiburg,Dortmund,1,3,A,16,16,7,7,3.0,3.75,2.2,2022-23,Bundesliga,D1
13/08/2022,Hertha,Ein Frankfurt,1,1,D,11,11,5,1,3.0,3.5,2.3,2022-23,Bundesliga,D1
13/08/2022,Hoffenheim,Bochum,3,2,H,24,11,13,5,1.57,4.5,5.25,2022-23,Bundesliga,D1
13/08/2022,Leverkusen,Augsburg,1,2,A,23,6,10,4,1.3,5.75,9.5,2022-23,Bundesliga,D1
13/08/2022,RB Leipzig,FC Koln,2,2,D,9,12,5,3,1.44,4.75,7.0,2022-23,Bundesliga,D1
13/08/2022,Werder Bremen,Stuttgart,2,2,D,5,14,3,7,2.25,3.6,3.0,2022-23,Bundesliga,D1
13/08/2022,Schalke 04,M'gladbach,2,2,D,14,14,5,9,3.1,3.8,2.15,2022-23,Bundesliga,D1
14/08/2022,Mainz,Union Berlin,0,0,D,10,10,5,2,2.2,3.25,3.4,2022-23,Bundesliga,D1
14/08/2022,Bayern Munich,Wolfsburg,2,0,H,24,7,8,1,1.12,9.5,17.0,2022-23,Bundesliga,D1
19/08/2022,M'gladbach,Hertha,1,0,H,11,18,6,5,1.5,4.5,6.0,2022-23,Bundesliga,D1
20/08/2022,Augsburg,Mainz,1,2,A,6,14,2,7,3.5,3.5,2.1,2022-23,Bundesliga,D1
20/08/2022,Dortmund,Werder Bremen,2,3,A,5,14,3,7,1.36,5.25,7.5,2022-23,Bundesliga,D1
20/08/2022,Leverkusen,Hoffenheim,0,3,A,14,10,3,5,1.66,4.33,4.5,2022-23,Bundesliga,D1
20/08/2022,Stuttgart,Freiburg,0,1,A,18,9,5,3,2.62,3.6,2.55,2022-23,Bundesliga,D1
20/08/2022,Wolfsburg,Schalke 04,0,0,D,16,9,6,2,1.83,3.8,4.2,2022-23,Bundesliga,D1
20/08/2022,Union Berlin,RB Leipzig,2,1,H,9,16,4,2,3.6,3.5,2.05,2022-23,Bundesliga,D1
21/08/2022,Ein Frankfurt,FC Koln,1,1,D,10,6,3,2,1.95,3.75,3.6,2022-23,Bundesliga,D1
21/08/2022,Bochum,Bayern Munich,0,7,A,13,22,7,12,13.0,8.0,1.18,2022-23,Bundesliga,D1
26/08/2022,Freiburg,Bochum,1,0,H,28,15,12,5,1.5,4.5,6.0,2022-23,Bundesliga,D1
27/08/2022,Hertha,Dortmund,0,1,A,12,24,3,7,4.5,4.33,1.66,2022-23,Bundesliga,D1
27/08/2022,Hoffenheim,Augsburg,1,0,H,24,12,6,1,1.45,4.5,7.0,2022-23,Bundesliga,D1
27/08/2022,Mainz,Leverkusen,0,3,A,17,7,3,5,2.75,3.75,2.37,2022-23,Bundesliga,D1
27/08/2022,RB Leipzig,Wolfsburg,2,0,H,16,9,7,4,1.45,4.75,6.0,2022-23,Bundesliga,D1
27/08/2022,Schalke 04,Union Berlin,1,6,A,12,12,4,7,3.1,3.4,2.3,2022-23,Bundesliga,D1
27/08/2022,Bayern Munich,M'gladbach,1,1,D,35,5,20,3,1.18,8.0,12.0,2022-23,Bundesliga,D1
28/08/2022,FC Koln,Stuttgart,0,0,D,6,13,2,5,2.05,3.75,3.4,2022-23,Bundesliga,D1
28/08/2022,Werder Bremen,Ein Frankfurt,3,4,A,10,12,4,7,2.45,3.5,2.8,2022-23,Bundesliga,D1
02/09/2022,Dortmund,Hoffenheim,1,0,H,16,7,5,2,1.61,4.5,4.75,2022-23,Bundesliga,D1
03/09/2022,Bochum,Werder Bremen,0,2,A,19,16,6,6,2.9,3.6,2.3,2022-23,Bundesliga,D1
03/09/2022,Leverkusen,Freiburg,2,3,A,15,5,6,3,1.9,3.75,3.8,2022-23,Bundesliga,D1
03/09/2022,Stuttgart,Schalke 04,1,1,D,13,13,3,4,1.75,4.0,4.33,2022-23,Bundesliga,D1
03/09/2022,Union Berlin,Bayern Munich,1,1,D,10,21,3,6,7.0,5.25,1.36,2022-23,Bundesliga,D1
03/09/2022,Wolfsburg,FC Koln,2,4,A,9,18,3,5,2.05,3.4,3.75,2022-23,Bundesliga,D1
03/09/2022,Ein Frankfurt,RB Leipzig,4,0,H,14,5,9,0,3.5,3.75,2.0,2022-23,Bundesliga,D1
04/09/2022,Augsburg,Hertha,0,2,A,8,16,2,6,2.45,3.3,2.87,2022-23,Bundesliga,D1
04/09/2022,M'gladbach,Mainz,0,1,A,13,12,3,5,2.2,3.8,3.0,2022-23,Bundesliga,D1
09/09/2022,Werder Bremen,Augsburg,0,1,A,11,14,6,5,1.53,4.5,5.5,2022-23,Bundesliga,D1
10/09/2022,Bayern Munich,Stuttgart,2,2,D,18,8,7,3,1.14,8.0,17.0,2022-23,Bundesliga,D1
10/09/2022,Ein Frankfurt,Wolfsburg,0,1,A,11,6,0,3,2.0,3.6,3.6,2022-23,Bundesliga,D1
10/09/2022,Hertha,Leverkusen,2,2,D,17,11,6,5,3.6,4.0,1.9,2022-23,Bundesliga,D1
10/09/2022,Hoffenheim,Mainz,4,1,H,21,10,9,2,2.25,3.75,2.9,2022-23,Bundesliga,D1
10/09/2022,RB Leipzig,Dortmund,3,0,H,14,4,5,0,2.3,3.9,2.75,2022-23,Bundesliga,D1
10/09/2022,Schalke 04,Bochum,3,1,H,20,9,8,2,2.0,3.8,3.5,2022-23,Bundesliga,D1
11/09/2022,FC Koln,Union Berlin,0,1,A,7,12,2,3,2.37,3.4,2.9,2022-23,Bundesliga,D1
11/09/2022,Freiburg,M'gladbach,0,0,D,13,14,8,5,2.0,3.6,3.5,2022-23,Bundesliga,D1
16/09/2022,Mainz,Hertha,1,1,D,12,4,2,2,1.72,4.0,4.33,2022-23,Bundesliga,D1
17/09/2022,Augsburg,Bayern Munich,1,0,H,9,21,4,7,17.0,8.0,1.16,2022-23,Bundesliga,D1
17/09/2022,Dortmund,Schalke 04,1,0,H,19,3,7,0,1.36,5.0,8.0,2022-23,Bundesliga,D1
17/09/2022,Leverkusen,Werder Bremen,1,1,D,19,19,7,7,1.61,4.33,5.0,2022-23,Bundesliga,D1
17/09/2022,Stuttgart,Ein Frankfurt,1,3,A,15,13,2,8,2.25,3.5,3.1,2022-23,Bundesliga,D1
17/09/2022,M'gladbach,RB Leipzig,3,0,H,21,13,10,6,3.0,3.6,2.25,2022-23,Bundesliga,D1
18/09/2022,Union Berlin,Wolfsburg,2,0,H,16,5,4,0,1.95,3.5,3.8,2022-23,Bundesliga,D1
18/09/2022,Bochum,FC Koln,1,1,D,7,18,0,3,3.1,3.6,2.2,2022-23,Bundesliga,D1
18/09/2022,Hoffenheim,Freiburg,0,0,D,10,14,3,4,2.15,3.6,3.2,2022-23,Bundesliga,D1
30/09/2022,Bayern Munich,Leverkusen,4,0,H,20,10,10,5,1.36,6.0,7.0,2022-23,Bundesliga,D1
01/10/2022,Ein Frankfurt,Union Berlin,2,0,H,14,14,4,5,2.25,3.4,3.2,2022-23,Bundesliga,D1
01/10/2022,FC Koln,Dortmund,3,2,H,20,21,16,13,3.1,4.0,2.05,2022-23,Bundesliga,D1
01/10/2022,Freiburg,Mainz,2,1,H,13,17,6,7,2.1,3.6,3.4,2022-23,Bundesliga,D1
01/10/2022,RB Leipzig,Bochum,4,0,H,17,2,9,1,1.22,6.5,12.0,2022-23,Bundesliga,D1
01/10/2022,Wolfsburg,Stuttgart,3,2,H,20,15,7,7,2.4,3.4,2.9,2022-23,Bundesliga,D1
01/10/2022,Werder Bremen,M'gladbach,5,1,H,14,13,9,9,2.5,3.9,2.5,2022-23,Bundesliga,D1
02/10/2022,Hertha,Hoffenheim,1,1,D,13,16,5,4,2.75,3.75,2.37,2022-23,Bundesliga,D1
02/10/2022,Schalke 04,Augsburg,2,3,A,16,11,5,5,1.95,3.8,3.6,2022-23,Bundesliga,D1
07/10/2022,Hoffenheim,Werder Bremen,1,2,A,16,8,6,3,1.95,3.8,3.5,2022-23,Bundesliga,D1
08/10/2022,Augsburg,Wolfsburg,1,1,D,18,12,5,7,2.9,3.4,2.4,2022-23,Bundesliga,D1
08/10/2022,Bochum,Ein Frankfurt,3,0,H,11,11,6,2,3.75,3.8,1.9,2022-23,Bundesliga,D1
08/10/2022,Leverkusen,Schalke 04,4,0,H,13,2,7,1,1.45,4.5,7.0,2022-23,Bundesliga,D1
08/10/2022,Mainz,RB Leipzig,1,1,D,9,12,3,3,3.0,3.6,2.3,2022-23,Bundesliga,D1
08/10/2022,Dortmund,Bayern Munich,2,2,D,13,9,6,3,4.33,4.75,1.65,2022-23,Bundesliga,D1
09/10/2022,M'gladbach,FC Koln,5,2,H,13,5,6,3,1.95,3.75,3.6,2022-23,Bundesliga,D1
09/10/2022,Hertha,Freiburg,2,2,D,11,10,3,4,3.0,3.5,2.3,2022-23,Bundesliga,D1
09/10/2022,Stuttgart,Union Berlin,0,1,A,9,7,3,4,2.55,3.1,2.9,2022-23,Bundesliga,D1
14/10/2022,Schalke 04,Hoffenheim,0,3,A,14,18,2,7,3.6,3.8,1.95,2022-23,Bundesliga,D1
15/10/2022,Ein Frankfurt,Leverkusen,5,1,H,20,5,11,2,2.75,3.6,2.45,2022-23,Bundesliga,D1
15/10/2022,Stuttgart,Bochum,4,1,H,16,14,7,4,1.65,4.0,5.25,2022-23,Bundesliga,D1
15/10/2022,Werder Bremen,Mainz,0,2,A,14,11,4,5,2.37,3.6,2.87,2022-23,Bundesliga,D1
15/10/2022,Wolfsburg,M'gladbach,2,2,D,16,10,4,5,2.62,3.5,2.6,2022-23,Bundesliga,D1
15/10/2022,RB Leipzig,Hertha,3,2,H,14,16,5,5,1.4,5.0,7.0,2022-23,Bundesliga,D1
16/10/2022,FC Koln,Augsburg,3,2,H,14,7,6,3,1.66,4.0,5.0,2022-23,Bundesliga,D1
16/10/2022,Union Berlin,Dortmund,2,0,H,14,13,5,6,2.9,3.5,2.37,2022-23,Bundesliga,D1
16/10/2022,Bayern Munich,Freiburg,5,0,H,18,6,8,0,1.25,6.5,9.0,2022-23,Bundesliga,D1
21/10/2022,Mainz,FC Koln,5,0,H,15,6,7,2,2.15,3.5,3.25,2022-23,Bundesliga,D1
22/10/2022,Augsburg,RB Leipzig,3,3,D,11,19,3,8,5.5,4.33,1.57,2022-23,Bundesliga,D1
22/10/2022,Dortmund,Stuttgart,5,0,H,19,10,10,1,1.53,4.75,5.5,2022-23,Bundesliga,D1
22/10/2022,Freiburg,Werder Bremen,2,0,H,25,10,7,2,1.9,3.75,3.8,2022-23,Bundesliga,D1
22/10/2022,Hoffenheim,Bayern Munich,0,2,A,7,23,3,10,5.5,5.0,1.5,2022-23,Bundesliga,D1
22/10/2022,Leverkusen,Wolfsburg,2,2,D,13,9,5,3,1.7,4.2,4.5,2022-23,Bundesliga,D1
22/10/2022,M'gladbach,Ein Frankfurt,1,3,A,8,16,3,5,2.3,3.75,2.87,2022-23,Bundesliga,D1
23/10/2022,Bochum,Union Berlin,2,1,H,8,6,5,3,4.33,3.4,1.9,2022-23,Bundesliga,D1
23/10/2022,Hertha,Schalke 04,2,1,H,11,9,4,2,1.75,3.75,4.75,2022-23,Bundesliga,D1
28/10/2022,Werder Bremen,Hertha,1,0,H,15,9,4,1,2.0,3.8,3.4,2022-23,Bundesliga,D1
29/10/2022,Bayern Munich,Mainz,6,2,H,25,13,12,5,1.25,6.5,11.0,2022-23,Bundesliga,D1
29/10/2022,RB Leipzig,Leverkusen,2,0,H,10,4,6,1,1.8,4.0,4.1,2022-23,Bundesliga,D1
29/10/2022,Stuttgart,Augsburg,2,1,H,31,12,8,6,1.8,3.8,4.33,2022-23,Bundesliga,D1
29/10/2022,Wolfsburg,Bochum,4,0,H,22,10,7,3,1.65,4.2,4.75,2022-23,Bundesliga,D1
29/10/2022,Ein Frankfurt,Dortmund,1,2,A,20,8,8,2,2.75,3.75,2.4,2022-23,Bundesliga,D1
30/10/2022,Union Berlin,M'gladbach,2,1,H,14,7,5,3,2.05,3.4,3.8,2022-23,Bundesliga,D1
30/10/2022,Schalke 04,Freiburg,0,2,A,12,19,3,9,4.0,3.75,1.9,2022-23,Bundesliga,D1
30/10/2022,FC Koln,Hoffenheim,1,1,D,11,9,3,4,2.9,3.5,2.37,2022-23,Bundesliga,D1
04/11/2022,M'gladbach,Stuttgart,3,1,H,11,13,6,4,2.15,3.75,3.1,2022-23,Bundesliga,D1
05/11/2022,Augsburg,Ein Frankfurt,1,2,A,9,12,5,7,4.33,4.0,1.72,2022-23,Bundesliga,D1
05/11/2022,Dortmund,Bochum,3,0,H,6,7,3,1,1.22,7.0,11.0,2022-23,Bundesliga,D1
05/11/2022,Hertha,Bayern Munich,2,3,A,7,14,5,4,10.0,6.5,1.25,2022-23,Bundesliga,D1
05/11/2022,Hoffenheim,RB Leipzig,1,3,A,11,17,3,8,2.9,3.75,2.25,2022-23,Bundesliga,D1
05/11/2022,Mainz,Wolfsburg,0,3,A,16,10,3,3,2.0,3.75,3.5,2022-23,Bundesliga,D1
05/11/2022,Werder Bremen,Schalke 04,2,1,H,11,19,5,3,1.65,4.33,4.5,2022-23,Bundesliga,D1
06/11/2022,Leverkusen,Union Berlin,5,0,H,11,6,8,1,2.15,3.4,3.4,2022-23,Bundesliga,D1
06/11/2022,Freiburg,FC Koln,2,0,H,13,6,5,2,1.7,4.0,4.75,2022-23,Bundesliga,D1
08/11/2022,Wolfsburg,Dortmund,2,0,H,15,20,8,6,3.1,3.6,2.2,2022-23,Bundesliga,D1
08/11/2022,Bayern Munich,Werder Bremen,6,1,H,21,4,10,1,1.14,9.5,15.0,2022-23,Bundesliga,D1
08/11/2022,Bochum,M'gladbach,2,1,H,13,8,4,2,3.2,3.5,2.25,2022-23,Bundesliga,D1
08/11/2022,Stuttgart,Hertha,2,1,H,16,11,7,4,1.95,3.8,3.75,2022-23,Bundesliga,D1
09/11/2022,FC Koln,Leverkusen,1,2,A,17,10,7,3,3.0,3.75,2.2,2022-23,Bundesliga,D1
09/11/2022,Ein Frankfurt,Hoffenheim,4,2,H,15,12,8,3,1.9,3.8,3.75,2022-23,Bundesliga,D1
09/11/2022,RB Leipzig,Freiburg,3,1,H,18,4,8,2,1.72,4.0,4.5,2022-23,Bundesliga,D1
09/11/2022,Schalke 04,Mainz,1,0,H,13,11,4,1,3.4,3.75,2.05,2022-23,Bundesliga,D1
09/11/2022,Union Berlin,Augsburg,2,2,D,18,7,6,2,1.55,4.2,6.0,2022-23,Bundesliga,D1
11/11/2022,M'gladbach,Dortmund,4,2,H,11,20,6,10,3.2,4.0,2.15,2022-23,Bundesliga,D1
12/11/2022,Augsburg,Bochum,0,1,A,19,11,5,4,2.2,3.5,3.2,2022-23,Bundesliga,D1
12/11/2022,Hertha,FC Koln,2,0,H,17,10,8,2,2.2,3.6,3.1,2022-23,Bundesliga,D1
12/11/2022,Hoffenheim,Wolfsburg,1,2,A,22,6,8,3,2.25,3.75,3.1,2022-23,Bundesliga,D1
12/11/2022,Leverkusen,Stuttgart,2,0,H,11,7,3,1,1.72,4.2,4.33,2022-23,Bundesliga,D1
12/11/2022,Werder Bremen,RB Leipzig,1,2,A,7,14,5,3,3.6,4.0,1.9,2022-23,Bundesliga,D1
12/11/2022,Schalke 04,Bayern Munich,0,2,A,6,22,2,6,15.0,7.5,1.16,2022-23,Bundesliga,D1
13/11/2022,Mainz,Ein Frankfurt,1,1,D,19,10,6,3,2.75,3.5,2.45,2022-23,Bundesliga,D1
13/11/2022,Freiburg,Union Berlin,4,1,H,7,4,5,2,2.0,3.3,4.0,2022-23,Bundesliga,D1
20/01/2023,RB Leipzig,Bayern Munich,1,1,D,10,7,3,2,3.6,4.33,1.85,2022-23,Bundesliga,D1
21/01/2023,Bochum,Hertha,3,1,H,10,10,3,2,2.38,3.5,2.9,2022-23,Bundesliga,D1
